time	type	subtype	content
126.205	event	timer	timer_event
126.257	state		release
126.359	event	timer	timer_event
126.411	state		release
126.513	event	timer	timer_event
126.565	state		release
126.667	event	timer	timer_event
126.673	print	task	0.1058304
126.724	state		release
126.826	event	timer	timer_event
126.878	state		release
126.980	event	timer	timer_event
127.032	state		release
127.134	event	timer	timer_event
127.186	state		release
127.288	event	timer	timer_event
127.295	print	task	0.1869969
127.345	state		release
127.447	event	timer	timer_event
127.499	state		release
127.601	event	timer	timer_event
127.653	state		release
127.755	event	timer	timer_event
127.807	state		release
127.909	event	timer	timer_event
127.915	print	task	0.2889411
128.016	state		post_release
128.023	variable	print	{"poke": "A2", "release_duration": 100, "n_release": 12, "release_weight": 0.2366238}
128.123	state		pre_release
128.230	state		release
128.332	event	timer	timer_event
128.384	state		release
128.486	event	timer	timer_event
128.538	state		release
128.640	event	timer	timer_event
128.692	state		release
128.794	event	timer	timer_event
128.800	print	task	0.0587821
128.851	state		release
128.953	event	timer	timer_event
129.005	state		release
129.107	event	timer	timer_event
129.159	state		release
129.261	event	timer	timer_event
129.313	state		release
129.415	event	timer	timer_event
129.421	print	task	0.0380609
129.472	state		release
129.574	event	timer	timer_event
129.626	state		release
129.728	event	timer	timer_event
129.780	state		release
129.882	event	timer	timer_event
129.934	state		release
130.036	event	timer	timer_event
130.042	print	task	0.08852839
130.093	state		release
130.195	event	timer	timer_event
130.247	state		release
130.349	event	timer	timer_event
130.401	state		release
130.503	event	timer	timer_event
130.555	state		release
130.657	event	timer	timer_event
130.663	print	task	0.07343102
130.714	state		release
130.816	event	timer	timer_event
130.868	state		release
130.970	event	timer	timer_event
131.022	state		release
131.124	event	timer	timer_event
131.176	state		release
131.278	event	timer	timer_event
131.284	print	task	0.101346
131.335	state		release
131.437	event	timer	timer_event
131.489	state		release
131.591	event	timer	timer_event
131.643	state		release
131.745	event	timer	timer_event
131.797	state		release
131.899	event	timer	timer_event
131.905	print	task	0.106914
131.956	state		release
132.058	event	timer	timer_event
132.110	state		release
132.212	event	timer	timer_event
132.264	state		release
132.366	event	timer	timer_event
132.418	state		release
132.520	event	timer	timer_event
132.526	print	task	0.1128933
132.577	state		release
132.679	event	timer	timer_event
132.731	state		release
132.833	event	timer	timer_event
132.885	state		release
132.987	event	timer	timer_event
133.039	state		release
133.141	event	timer	timer_event
133.147	print	task	0.1258979
133.198	state		release
133.300	event	timer	timer_event
133.352	state		release
133.454	event	timer	timer_event
133.506	state		release
133.608	event	timer	timer_event
133.660	state		release
133.762	event	timer	timer_event
133.768	print	task	0.1806068
133.819	state		release
133.921	event	timer	timer_event
133.973	state		release
134.075	event	timer	timer_event
134.127	state		release
134.229	event	timer	timer_event
134.284	state		release
134.386	event	timer	timer_event
134.393	print	task	0.1880808
134.443	state		release
134.545	event	timer	timer_event
134.597	state		release
134.699	event	timer	timer_event
134.751	state		release
134.853	event	timer	timer_event
134.905	state		release
135.007	event	timer	timer_event
135.013	print	task	0.2287014
135.114	state		post_release
135.121	variable	print	{"poke": "A3", "release_duration": 100, "n_release": 44, "release_weight": 0.2022812}
135.221	state		pre_release
135.328	state		release
135.430	event	timer	timer_event
135.482	state		release
135.584	event	timer	timer_event
135.636	state		release
135.738	event	timer	timer_event
135.790	state		release
135.892	event	timer	timer_event
135.898	print	task	0.1200683
135.949	state		release
136.051	event	timer	timer_event
136.103	state		release
136.205	event	timer	timer_event
136.257	state		release
136.359	event	timer	timer_event
136.411	state		release
136.513	event	timer	timer_event
136.519	print	task	0.1867356
136.570	state		release
136.672	event	timer	timer_event
136.724	state		release
136.826	event	timer	timer_event
136.878	state		release
136.980	event	timer	timer_event
137.032	state		release
137.134	event	timer	timer_event
137.140	print	task	0.2748902
137.241	state		post_release
137.248	variable	print	{"poke": "B1", "release_duration": 100, "n_release": 12, "release_weight": 0.2457795}
137.348	state		pre_release
137.455	state		release
137.557	event	timer	timer_event
137.609	state		release
137.711	event	timer	timer_event
137.763	state		release
137.865	event	timer	timer_event
137.917	state		release
138.019	event	timer	timer_event
138.025	print	task	0.1329234
138.076	state		release
138.178	event	timer	timer_event
138.230	state		release
138.332	event	timer	timer_event
138.384	state		release
138.486	event	timer	timer_event
138.538	state		release
138.640	event	timer	timer_event
138.646	print	task	0.2241051
138.747	state		post_release
138.754	variable	print	{"poke": "B2", "release_duration": 100, "n_release": 8, "release_weight": 0.1430879}
138.854	state		pre_release
138.961	state		release
139.063	event	timer	timer_event
139.115	state		release
139.217	event	timer	timer_event
139.269	state		release
139.371	event	timer	timer_event
139.423	state		release
139.525	event	timer	timer_event
139.531	print	task	0.1022429
139.582	state		release
139.684	event	timer	timer_event
139.736	state		release
139.838	event	timer	timer_event
139.890	state		release
139.992	event	timer	timer_event
140.044	state		release
140.146	event	timer	timer_event
140.152	print	task	0.1718998
140.203	state		release
140.305	event	timer	timer_event
140.357	state		release
140.459	event	timer	timer_event
140.511	state		release
140.613	event	timer	timer_event
140.665	state		release
140.767	event	timer	timer_event
140.773	print	task	0.2796736
140.874	state		post_release
140.881	variable	print	{"poke": "B3", "release_duration": 100, "n_release": 12, "release_weight": 0.2309997}
140.981	state		pre_release
141.092	state		release
141.194	event	timer	timer_event
141.246	state		release
141.348	event	timer	timer_event
141.400	state		release
141.502	event	timer	timer_event
141.554	state		release
141.656	event	timer	timer_event
141.662	print	task	0.1355765
141.713	state		release
141.815	event	timer	timer_event
141.867	state		release
141.969	event	timer	timer_event
142.021	state		release
142.123	event	timer	timer_event
142.175	state		release
142.277	event	timer	timer_event
142.283	print	task	0.2168553
142.384	state		post_release
142.391	variable	print	{"poke": "C1", "release_duration": 100, "n_release": 8, "release_weight": 0.2028418}
142.491	state		pre_release
142.598	state		release
142.700	event	timer	timer_event
142.752	state		release
142.854	event	timer	timer_event
142.906	state		release
143.008	event	timer	timer_event
143.060	state		release
143.162	event	timer	timer_event
143.168	print	task	0.06651759
143.219	state		release
143.321	event	timer	timer_event
143.373	state		release
143.475	event	timer	timer_event
143.527	state		release
143.629	event	timer	timer_event
143.681	state		release
143.783	event	timer	timer_event
143.789	print	task	0.09790802
143.840	state		release
143.942	event	timer	timer_event
143.994	state		release
144.096	event	timer	timer_event
144.148	state		release
144.250	event	timer	timer_event
144.302	state		release
144.404	event	timer	timer_event
144.410	print	task	0.1406589
144.461	state		release
144.563	event	timer	timer_event
144.615	state		release
144.717	event	timer	timer_event
144.769	state		release
144.871	event	timer	timer_event
144.923	state		release
145.025	event	timer	timer_event
145.031	print	task	0.1973109
145.082	state		release
145.184	event	timer	timer_event
145.236	state		release
145.338	event	timer	timer_event
145.390	state		release
145.492	event	timer	timer_event
145.544	state		release
145.646	event	timer	timer_event
145.652	print	task	0.2346807
145.753	state		post_release
145.760	variable	print	{"poke": "C2", "release_duration": 100, "n_release": 20, "release_weight": 0.2014964}
145.860	state		pre_release
145.967	state		release
146.069	event	timer	timer_event
146.121	state		release
146.223	event	timer	timer_event
146.275	state		release
146.377	event	timer	timer_event
146.429	state		release
